ngal    M     phi    Err
   1 -23.88 3.93e-07 3.93e-07
   5 -23.38 1.87e-06 9.88e-07
  19 -23.12 7.22e-06 8.87e-07
  50 -22.88 1.87e-05 3.62e-06
 110 -22.62 4.10e-05 5.45e-06
 284 -22.38 1.09e-04 9.03e-06
 577 -22.12 2.16e-04 1.27e-05
1032 -21.88 3.88e-04 2.08e-05
1939 -21.62 7.28e-04 4.46e-05
3099 -21.38 1.17e-03 4.16e-05
4761 -21.12 1.80e-03 8.82e-05
6630 -20.88 2.52e-03 1.18e-04
8608 -20.62 3.33e-03 1.46e-04
9903 -20.38 4.20e-03 1.69e-04
8316 -20.12 4.87e-03 2.34e-04
5831 -19.88 6.02e-03 3.45e-04
3369 -19.62 6.58e-03 4.53e-04
1236 -19.38 5.65e-03 4.96e-04
 136 -19.12 1.03e-03 1.45e-04
  28 -18.88 7.84e-05 1.94e-05
  14 -18.62 4.93e-04 4.33e-04
   2 -18.38 2.24e-04 2.24e-04
   6 -18.12 1.75e-04 1.53e-04
   2 -17.88 1.27e-05 1.14e-05
